Date,Geberas trend,Flower trend,Month,Year
2022-06-12 00:00:00,61,48,6,2022
2022-06-19 00:00:00,64,45,6,2022
2022-06-26 00:00:00,60,43,6,2022
2022-07-03 00:00:00,62,42,7,2022
2022-07-10 00:00:00,69,43,7,2022
2022-07-17 00:00:00,63,44,7,2022
2022-07-24 00:00:00,59,44,7,2022
2022-07-31 00:00:00,60,45,7,2022
2022-08-07 00:00:00,65,42,8,2022
2022-08-14 00:00:00,62,39,8,2022
2022-08-21 00:00:00,51,42,8,2022
2022-08-28 00:00:00,57,42,8,2022
2022-09-04 00:00:00,55,42,9,2022
2022-09-11 00:00:00,60,44,9,2022
2022-09-18 00:00:00,83,44,9,2022
2022-09-25 00:00:00,68,40,9,2022
2022-10-02 00:00:00,65,39,10,2022
2022-10-09 00:00:00,65,40,10,2022
2022-10-16 00:00:00,64,38,10,2022
2022-10-23 00:00:00,54,36,10,2022
2022-10-30 00:00:00,53,37,10,2022
2022-11-06 00:00:00,53,38,11,2022
2022-11-13 00:00:00,56,35,11,2022
2022-11-20 00:00:00,44,34,11,2022
